date,bullish,neutral,bearish,spread
1-6-94,40.0%,33.0%,27.0%,0.13
1-13-94,38.0%,31.0%,31.0%,0.07
1-20-94,48.0%,26.0%,26.0%,0.22
1-27-94,41.0%,25.0%,34.0%,0.07
2-3-94,38.0%,29.0%,33.0%,0.05
2-10-94,49.0%,27.0%,24.0%,0.25
2-17-94,40.0%,36.0%,24.0%,0.16
2-24-94,41.0%,30.0%,29.0%,0.12
3-3-94,31.0%,42.0%,27.0%,0.04
3-10-94,29.0%,34.0%,37.0%,-0.08
3-17-94,24.0%,41.0%,35.0%,-0.11
3-24-94,29.0%,37.0%,34.0%,-0.05
3-31-94,23.0%,33.0%,44.0%,-0.21
4-7-94,28.0%,31.0%,41.0%,-0.13
4-14-94,29.0%,23.0%,48.0%,-0.19
4-21-94,26.0%,41.0%,33.0%,-0.07
4-28-94,27.0%,35.0%,38.0%,-0.11
5-5-94,32.0%,32.0%,36.0%,-0.04
5-12-94,38.0%,32.0%,30.0%,0.08
5-19-94,22.0%,36.0%,42.0%,-0.2
5-26-94,29.0%,33.0%,38.0%,-0.09
6-2-94,39.0%,36.0%,25.0%,0.14
6-9-94,28.0%,47.0%,25.0%,0.03
6-16-94,32.0%,42.0%,26.0%,0.06
6-23-94,29.0%,45.0%,26.0%,0.03
6-30-94,32.0%,37.0%,31.0%,0.01
7-7-94,28.0%,32.0%,40.0%,-0.12
7-14-94,25.0%,40.0%,35.0%,-0.1
7-21-94,34.0%,38.0%,28.0%,0.06
7-28-94,27.0%,42.0%,31.0%,-0.04
8-4-94,22.0%,52.0%,26.0%,-0.04
8-11-94,34.0%,37.0%,29.0%,0.05
8-18-94,30.0%,40.0%,30.0%,0
8-25-94,32.0%,39.0%,29.0%,0.03
9-1-94,43.0%,34.0%,23.0%,0.2
9-8-94,47.0%,33.0%,20.0%,0.27
9-15-94,45.0%,25.0%,30.0%,0.15
9-22-94,37.0%,36.0%,27.0%,0.1
9-29-94,38.0%,32.0%,30.0%,0.08
10-6-94,33.0%,39.0%,28.0%,0.05
10-13-94,35.0%,39.0%,26.0%,0.09
10-20-94,39.0%,33.0%,28.0%,0.11
10-27-94,43.0%,38.0%,19.0%,0.24
11-3-94,40.0%,35.0%,25.0%,0.15
11-10-94,37.0%,31.0%,32.0%,0.05
11-17-94,39.0%,22.0%,39.0%,0
11-23-94,39.0%,32.0%,29.0%,0.1
11-30-94,44.0%,30.0%,26.0%,0.18
12-8-94,30.0%,35.0%,35.0%,-0.05
12-15-94,33.0%,35.0%,32.0%,0.01
12-22-94,42.0%,25.0%,33.0%,0.09
12-29-94,40.0%,43.0%,17.0%,0.23
1-5-95,44.0%,31.0%,25.0%,0.19
1-12-95,36.0%,42.0%,22.0%,0.14
1-19-95,37.0%,39.0%,24.0%,0.13
1-26-95,38.0%,37.0%,25.0%,0.13
2-2-95,38.0%,37.0%,25.0%,0.13
2-9-95,34.0%,43.0%,23.0%,0.11
2-16-95,43.0%,37.0%,20.0%,0.23
2-23-95,46.0%,37.0%,17.0%,0.29
3-2-95,53.0%,26.0%,21.0%,0.32
3-9-95,48.0%,34.0%,18.0%,0.3
3-16-95,39.0%,41.0%,20.0%,0.19
3-23-95,47.0%,30.0%,23.0%,0.24
3-30-95,52.0%,23.0%,25.0%,0.27
4-6-95,42.0%,25.0%,33.0%,0.09
4-13-95,40.0%,23.0%,37.0%,0.03
4-20-95,37.0%,27.0%,36.0%,0.01
4-27-95,52.0%,29.0%,19.0%,0.33
5-4-95,42.0%,27.0%,31.0%,0.11
5-11-95,44.0%,26.0%,30.0%,0.14
5-18-95,42.0%,23.0%,35.0%,0.07
5-25-95,44.0%,26.0%,30.0%,0.14
6-1-95,39.0%,34.0%,27.0%,0.12
6-8-95,44.0%,25.0%,31.0%,0.13
6-15-95,36.0%,31.0%,33.0%,0.03
6-22-95,48.0%,21.0%,31.0%,0.17
6-29-95,35.0%,28.0%,37.0%,-0.02
7-6-95,35.0%,34.0%,31.0%,0.04
