caldt,prtnam,totret
1984-02-29,1,-0.028426
1984-03-30,1,0.012138
1984-04-30,1,0.015111
1984-05-31,1,-0.049217
1984-06-29,1,0.019632
1984-07-31,1,-0.005551
1984-08-31,1,0.105243
1984-09-28,1,0.000754
1984-10-31,1,0.004489
1984-11-30,1,-0.011586
1984-12-31,1,0.024962
1985-01-31,1,0.072561
1985-02-28,1,0.015573
1985-03-29,1,-0.002192
1985-04-30,1,-0.000724
1985-05-31,1,0.061152
1985-06-28,1,0.015440
1985-07-31,1,-0.006985
1985-08-30,1,-0.004070
1985-09-30,1,-0.027747
1985-10-31,1,0.042589
1985-11-29,1,0.070018
1985-12-31,1,0.049114
1986-01-31,1,0.000431
1986-02-28,1,0.073588
1986-03-31,1,0.056912
1986-04-30,1,-0.012585
1986-05-30,1,0.053640
1986-06-30,1,0.022027
1986-07-31,1,-0.050010
1986-08-29,1,0.073580
1986-09-30,1,-0.089844
1986-10-31,1,0.052980
1986-11-28,1,0.025270
1986-12-31,1,-0.023371
1987-01-30,1,0.134500
1987-02-27,1,0.034946
1987-03-31,1,0.027426
1987-04-30,1,-0.006292
1987-05-29,1,0.008322
1987-06-30,1,0.049485
1987-07-31,1,0.043406
1987-08-31,1,0.045123
1987-09-30,1,-0.023015
1987-10-30,1,-0.198056
1987-11-30,1,-0.089496
1987-12-31,1,0.064338
1988-01-29,1,0.040601
1988-02-29,1,0.033327
1988-03-31,1,-0.042642
1988-04-29,1,0.011166
1988-05-31,1,0.011747
1988-06-30,1,0.038633
1988-07-29,1,-0.000881
1988-08-31,1,-0.030844
1988-09-30,1,0.041518
1988-10-31,1,0.031988
1988-11-30,1,-0.008536
1988-12-30,1,0.016532
1989-01-31,1,0.072153
1989-02-28,1,-0.028969
1989-03-31,1,0.025227
1989-04-28,1,0.052210
1989-05-31,1,0.039742
1989-06-30,1,-0.005458
1989-07-31,1,0.092650
1989-08-31,1,0.012272
1989-09-29,1,0.002922
1989-10-31,1,-0.014798
1989-11-30,1,0.022010
1989-12-29,1,0.023496
1990-01-31,1,-0.066026
1990-02-28,1,0.012022
1990-03-30,1,0.024499
1990-04-30,1,-0.014950
1990-05-31,1,0.092542
1990-06-29,1,-0.003761
1990-07-31,1,0.003624
1990-08-31,1,-0.083778
1990-09-28,1,-0.040248
1990-10-31,1,0.007141
1990-11-30,1,0.054089
1990-12-31,1,0.022462
1991-01-31,1,0.035126
1991-02-28,1,0.067257
1991-03-28,1,0.023802
1991-04-30,1,-0.002368
1991-05-31,1,0.036017
1991-06-28,1,-0.040070
1991-07-31,1,0.047148
1991-08-30,1,0.024776
1991-09-30,1,-0.016706
1991-10-31,1,0.013027
1991-11-29,1,-0.033516
1991-12-31,1,0.114868
1992-01-31,1,-0.032760
1992-02-28,1,0.004167
1992-03-31,1,-0.016570
1992-04-30,1,0.031165
1992-05-29,1,0.005217
1992-06-30,1,-0.014426
1992-07-31,1,0.041376
1992-08-31,1,-0.018931
1992-09-30,1,0.006411
1992-10-30,1,-0.000801
1992-11-30,1,0.030450
1992-12-31,1,0.011200
1993-01-29,1,-0.001908
1993-02-26,1,0.014160
1993-03-31,1,0.017911
1993-04-30,1,-0.025780
1993-05-28,1,0.023519
1993-06-30,1,0.005951
1993-07-30,1,-0.005031
1993-08-31,1,0.033232
1993-09-30,1,-0.007972
1993-10-29,1,0.018797
1993-11-30,1,-0.008400
1993-12-31,1,0.006386
1994-01-31,1,0.032196
1994-02-28,1,-0.032415
1994-03-31,1,-0.041903
1994-04-29,1,0.018708
1994-05-31,1,0.018254
1994-06-30,1,-0.024757
1994-07-29,1,0.032748
1994-08-31,1,0.034714
1994-09-30,1,-0.024181
1994-10-31,1,0.023292
1994-11-30,1,-0.032517
1994-12-30,1,0.014871
1995-01-31,1,0.030943
1995-02-28,1,0.031772
1995-03-31,1,0.025606
1995-04-28,1,0.030858
1995-05-31,1,0.039654
1995-06-30,1,0.020806
1995-07-31,1,0.031981
1995-08-31,1,0.002812
1995-09-29,1,0.054013
1995-10-31,1,-0.000316
1995-11-30,1,0.046628
1995-12-29,1,0.022528
1996-01-31,1,0.037653
1996-02-29,1,0.007493
1996-03-29,1,0.006204
1996-04-30,1,0.004172
1996-05-31,1,0.026921
1996-06-28,1,0.010006
1996-07-31,1,-0.040484
1996-08-30,1,0.018396
1996-09-30,1,0.053862
1996-10-31,1,0.024921
1996-11-29,1,0.073623
1996-12-31,1,-0.020695
1997-01-31,1,0.062765
1997-02-28,1,0.014909
1997-03-31,1,-0.043342
1997-04-30,1,0.060337
1997-05-30,1,0.057355
1997-06-30,1,0.052248
1997-07-31,1,0.072589
1997-08-29,1,-0.064855
1997-09-30,1,0.058389
1997-10-31,1,-0.026316
1997-11-28,1,0.052216
1997-12-31,1,0.024116
